Frame,HIPMIDDLE:X,HIPMIDDLE:Y,HIPMIDDLE:Z,RHIP:X,RHIP:Y,RHIP:Z,RKNE:X,RKNE:Y,RKNE:Z,RANK:X,RANK:Y,RANK:Z,LHIP:X,LHIP:Y,LHIP:Z,LKNE:X,LKNE:Y,LKNE:Z,LANK:X,LANK:Y,LANK:Z,LSHO:X,LSHO:Y,LSHO:Z,LELB:X,LELB:Y,LELB:Z,LWRIST:X,LWRIST:Y,LWRIST:Z,RSHO:X,RSHO:Y,RSHO:Z,RELB:X,RELB:Y,RELB:Z,RWRIST:X,RWRIST:Y,RWRIST:Z
1,0.28772899160322585,0.0851872927891226,0.24892637362043346,0.32478910870625693,0.06067862943005747,0.27888349814843777,-0.2722511750188063,-0.0347084646712262,-0.030483654123991608,0.2252409821211248,0.06850596134347246,-0.008153076758164074,0.3188230902478318,0.08989689436844839,0.22244237793458083,0.2597732987187911,0.15482904740618686,0.15258817104228645,0.22452672952989153,0.11065427270513556,-0.0017757495633270233,0.18726444156480304,0.03633894628237069,0.37130534759947875,0.1144201806659448,0.2558510934755711,0.45674763238888305,0.1616444165134459,0.29333168562210143,0.4094517662084567,0.18711632939373793,0.07674716418817282,0.35993328577765027,0.11102732908107156,-0.06100138918415674,0.43866233851424785,0.1450876890307449,-0.06138067955860495,0.42371751472657326
2,-0.2987582024023469,-0.08936337043747936,-0.2570915298228761,-0.3358393827786692,-0.06367252109706185,-0.2861953955259271,0.2558576945089173,0.030289353500815776,0.025507366401334615,-0.23667715115931476,-0.07207453106500339,0.00818681024706186,-0.3300947887981174,-0.09501500711595505,-0.2298009460193179,-0.27253376799808054,-0.1601883277948779,-0.15641159080177328,-0.23592473415526027,-0.11627511683888941,0.0015566128701942335,-0.19937890861589538,-0.04216200250523794,-0.38310322059095514,-0.1270382762691863,-0.26379124212543487,-0.4674060668270647,-0.17663453489739325,-0.300978171812409,-0.4200646127957097,-0.19905067660848785,-0.07959451140529984,-0.37178052876452194,-0.12361012149768336,0.06005103004587399,-0.44919851992683757,-0.1599101630583063,0.0604286838741273,-0.4341874378387475
3,0.3097932904116882,0.09354075182844784,0.26526201001293076,0.3468999122438859,0.06667312668174304,0.29351368631049973,-0.23953767803657844,-0.025886867775766115,-0.02054822445872918,0.24810982746251442,0.07564189346795193,-0.008221360855615853,0.3413748887823101,0.10013282296507593,0.2371678027712476,0.28528875004875126,0.16554787491457681,0.16023771218382343,0.24731929405082032,0.12189433484061721,-0.0013385332451156633,0.21148536217896685,0.047982933740022146,0.39491291517876265,0.13963697011438275,0.2717406950111485,0.4780898271098307,0.19160491155418935,0.3086389074941662,0.430697653528929,0.21097610385243587,0.0824433859867203,0.3836390293709117,0.13617346778815023,-0.05911040639197456,0.45975842632146346,0.17471154319175844,-0.05948630699846511,0.44467959665750456
4,-0.3208380997435467,-0.09772091386808684,-0.27344065162622394,-0.3579745631452467,-0.06968153663999942,-0.3008409193021511,0.2232851316892011,0.021499405357503967,0.015604428541886213,-0.25954302706642945,-0.07920930182886926,0.008256737856194006,-0.352667318175644,-0.10525214073687905,-0.24454550699073835,-0.29804276615775877,-0.1709096169624263,-0.16406793092300154,-0.25871441188618494,-0.12751390007732505,0.0011214292377573062,-0.22358807792814026,-0.0538038307920967,-0.40673851631811514,-0.15222074727094592,-0.27970219761388554,-0.4888025575608226,-0.20656086187234815,-0.3163165194900671,-0.4413545344434738,-0.22289681823663443,-0.08529478044630029,-0.39551289494074676,-0.14872183345001574,0.05817915683945849,-0.47034565951686863,-0.18949709175922694,0.05855318233860018,-0.45519758039115166
5,0.3318964624243808,0.10190532759204916,0.2816302841752113,0.36906719146669503,0.07269883941094403,0.3081796371225751,-0.2070941377812993,-0.01712538239154175,-0.010674198365443475,0.2709807468909245,0.08277800339201784,-0.008292951037326676,0.3639759940847611,0.11037475133711774,0.25193661221811453,0.3108003143809568,0.1762754733503059,0.16790363761766858,0.2701140713180133,0.1331357765994274,-0.0009052205047360462,0.23569130828818852,0.05962677470855126,0.4185841002222018,0.1647940606509726,0.2876784905105123,0.4995479050072371,0.22150766545716022,0.32401363361683055,0.45203890051922313,0.23481700322746546,0.08814968422073512,0.40740622362395806,0.16125965195884895,-0.05725692825542844,0.48096382291013007,0.20427203459846177,-0.05762895152229628,0.4657449788489048
6,-0.3429722029278118,-0.10609545993106087,-0.28983373257506523,-0.3801816477112239,-0.07572612277164793,-0.3155323792046501,0.19095884753005044,0.012763231360877515,0.00575577093174182,-0.28242696948945323,-0.08634924085569512,0.00833001071199154,-0.3753048273811153,-0.11550243989691883,-0.2593436697466484,-0.323565874913743,-0.18164735701075047,-0.17174621940155474,-0.2815222417282301,-0.13876192147518726,0.0006898277099824316,-0.24779928751888472,-0.06545383925801895,-0.43045373913799073,-0.1773613363688004,-0.2956723125869752,-0.5103295229978349,-0.2364505724755922,-0.3317328777416246,-0.462754399918631,-0.24674082364427458,-0.09100908483771741,-0.4193231091977041,-0.17379133010274583,0.05634337530207306,-0.49161652565283953,-0.2190415673452674,0.056713263934824155,-0.4763253866093644
7,0.35406914263595957,0.11029277544946914,0.29805382042536765,0.3913217814128022,0.07876447516862821,0.32290168473745906,-0.17487347393677943,-0.008411399189262064,-0.000847398401828446,0.2938856677292416,0.08992425382905242,-0.008367927726899918,0.3866577272574899,0.12063698787002947,0.26676923159561544,0.3363439153741722,0.18702717665941737,0.17559706158952482,0.2929428828824093,0.14439428708869712,-0.0004751724276200422,0.25991623668893593,0.07128709336661254,0.44235150608158325,0.189926978991575,0.3036864042095358,0.521151075993382,0.25139480986669865,0.33947688480764954,0.4735046881902332,0.25867243056665484,0.09387396906692816,0.43126764580896393,0.18632125320506096,-0.05543815999996357,0.5023073867865409,0.23381086158152997,-0.05580577627320252,0.4869424071474864
8,-0.3651911042977183,-0.11449873807575506,-0.3062933732861466,-0.40249144563988093,-0.0818149870492897,-0.3302900956137997,0.15883228477698497,0.004068345371321287,-0.004052654003202836,-0.3053608094410762,-0.09350428028661412,0.008406713472539986,-0.3980386057901795,-0.12578017513054152,-0.2742158534805866,-0.3491388960545627,-0.19241683905149026,-0.17945754931826474,-0.3043799495686024,-0.1500348234256527,0.000261177046979688,-0.2720463686443536,-0.07712860354600673,-0.45428147954963105,-0.20249537674924165,-0.31172351039618207,-0.5320162435649175,-0.2663455875186908,-0.34724829586313455,-0.484293432470911,-0.2706159662111128,-0.09674532406780093,-0.44324393273177515,-0.19885379030977124,0.054540951305532374,-0.5130400393927438,-0.24858507095813476,0.054906152115069086,-0.4975996569756304
9,0.3763419164366366,0.11871481281585124,0.31455522192368,0.41369450146798603,0.08487875217825734,0.33770015934732206,-0.14282959576511453,0.0002674598555584642,0.008946110057906353,0.316856362022063,0.0970905580012015,-0.008446379894154163,0.4094513824485982,0.1309337820360761,0.28168609776146186,0.3619552751157429,0.19781825120712615,0.18332906916894678,0.3158373961794387,0.1556854803333449,-4.776467952575652e-05,0.2841938928965804,0.08298043629054606,0.4662477482102624,0.21507090666457085,0.31978638396764003,0.5429287245817099,0.28130810434282066,0.35504976307724023,0.4951243156770468,0.2825755687469074,0.09962413852834742,0.45525607906778903,0.21139329928123662,-0.053651424703492004,0.5238181347261736,0.2633693372023491,-0.05401406150294611,0.5083007697648195
10,-0.38752541777949334,-0.12294246746625488,-0.3228422055691974,-0.4249348224521523,-0.08795686896120976,-0.3451344320058103,0.12685976379064376,-0.004597537323454383,-0.013834684568797651,-0.3283762970340187,-0.10068432598144644,0.008486939503553342,-0.4208999886304605,-0.13609959150288328,-0.28918253639959113,-0.3747975137672038,-0.20323332264359775,-0.1872130107938222,-0.3273191812986376,-0.16134820978127273,-0.0001651409324742239,-0.2963630205167555,-0.08884466047650401,-0.4782544156003823,-0.22765793966274817,-0.3278777887059983,-0.5538922414279958,-0.2962875543434094,-0.3628839527746186,-0.5060010407126109,-0.294555377103507,-0.10251140380555475,-0.46730820847965804,-0.223944131894095,0.05276926181122929,-0.5346453463810387,-0.2781687961274677,0.053129180539704335,-0.5190494004972666
