Frame,HIPMIDDLE:X,HIPMIDDLE:Y,HIPMIDDLE:Z,RHIP:X,RHIP:Y,RHIP:Z,RKNE:X,RKNE:Y,RKNE:Z,RANK:X,RANK:Y,RANK:Z,LHIP:X,LHIP:Y,LHIP:Z,LKNE:X,LKNE:Y,LKNE:Z,LANK:X,LANK:Y,LANK:Z,LSHO:X,LSHO:Y,LSHO:Z,LELB:X,LELB:Y,LELB:Z,LWRIST:X,LWRIST:Y,LWRIST:Z,RSHO:X,RSHO:Y,RSHO:Z,RELB:X,RELB:Y,RELB:Z,RWRIST:X,RWRIST:Y,RWRIST:Z
1,0.775783015154982,0.3223719401566136,0.5050976217020385,0.7772364315801825,0.26432645811647054,0.45014919694655264,0.4343085568124771,0.10868019557605331,0.13438065178796088,0.40193226453090525,0.11273125054287701,0.09973831664123235,0.79735854983482,0.3776769649185708,0.4511581697650997,-0.8611905653994891,-0.3385121972164722,-0.23806463934280064,0.34429720462018953,0.1856193396697538,-0.06722526481290968,0.4846320163538802,0.20539444596099632,0.32930998568823383,0.3928061456661044,0.24957247822842601,0.3228527425521144,0.40620797062125136,0.2416394205489227,0.24420669314395554,0.44759780891377066,0.11106014607364943,0.3344816191754256,-0.3693970093721031,-0.039735885465217675,-0.22607774751272527,0.49103774460220945,0.0837332704247303,0.32278865275085034
2,-0.7735855204414817,-0.3214599951567483,-0.5033274501376431,-0.774924693453908,-0.26361376322431246,-0.44850114874486274,-0.42904984022915243,-0.10709951466688745,-0.1328800610492027,-0.39745149766131327,-0.11136081274356238,-0.10010491716052228,-0.7951012020297099,-0.37661000059389105,-0.44955093094995036,0.8718756445498708,0.3430616193335735,0.24113310727207857,-0.3396246960420602,-0.18332135882784098,0.0676788567286049,-0.4798559738146839,-0.2030128129836366,-0.32437181764501327,-0.38825804659234286,-0.24687140625582554,-0.319048307018166,-0.40146096064990283,-0.23876726971491558,-0.24127206898873688,-0.44276490659024353,-0.10986168724779322,-0.3295941918618266,0.37658505317122404,0.04090078690216792,0.23147124810307812,-0.4855155469414618,-0.08255822290631393,-0.31887525431562197
3,0.7713838424012944,0.3205470844698937,0.5015541610148468,0.7726075794143656,0.2629004998397541,0.44685018633074736,0.42374983529703353,0.10550729006551599,0.13137046480338896,0.39293389485355107,0.10997958270274687,0.1004774430189489,0.7928395926664157,0.3755415996664954,0.4479407473073333,-0.8826441832254188,-0.3476443344782306,-0.24422476431034712,0.33491297311977913,0.18100476132713586,-0.06813854764991643,0.4750404520772506,0.2006137503216083,0.31939665897102826,0.3836750550210127,0.24415029291876877,0.31521488035944273,0.39667892795702003,0.23587265088018153,0.2383158350662296,0.43788897432481755,0.1086556918925407,0.3246709734938755,-0.3838274912370961,-0.0420732873351692,-0.23690197866003954,0.47994831628125517,0.0813727842617987,0.31494100167845995
4,-0.7691770597951043,-0.3196328346036085,-0.49977708971434676,-0.770284133400089,-0.2621863706577092,-0.44519570221409244,-0.4184067698335617,-0.10390301635113713,-0.12985138183904776,-0.3883778274301213,-0.1085870747109508,-0.10085596986098624,-0.7905727753163525,-0.37447132230319535,-0.44632701900604,0.8934984769013004,0.3522613095153029,0.24734027678213455,-0.3301603782102258,-0.1786687291018784,0.06860445845371653,-0.47018367099461367,-0.19819642593949316,-0.31438284146505024,-0.3790555558985138,-0.2414081798014523,-0.3113511242712042,-0.3918602123754775,-0.2329545453189347,-0.23533697049829408,-0.4329681998568464,-0.10744175326786723,-0.31971031810356426,0.3911262162563661,0.04325369000272119,0.2423713354484412,-0.4743340602833042,-0.08017653263276836,-0.310984647953374
5,0.7669642369669767,0.3187168665105895,0.4979955616453599,0.767953384119398,0.26147107398171526,0.44353707985350593,0.4130188345646249,0.10228617780390858,0.12832232179176092,0.3837816320988646,0.10718279288357319,0.10124057592814267,0.7882997887433016,0.37339872201373814,0.4447091371974062,-0.9044408689180767,-0.35691353072205406,-0.2504803246482279,0.32536521814773167,0.17631242678367381,-0.0690767133784687,0.46528381252859063,0.19575999081476747,0.3093286626130626,0.3743979006456193,0.23864408882280014,0.3074556727488977,0.38700311974563995,0.23001191302140533,0.2323344335197732,0.42800073133530553,0.10621945674266274,0.31471054613654065,-0.3984831597777131,-0.04444230396416248,-0.24788074220962142,0.4686707442935301,0.07896903695027813,0.307004923377523
6,-0.7647444230007191,-0.3177987952509087,-0.4962088916548981,-0.7656143441794245,-0.26075430345386125,-0.4418736931086157,-0.40758418144361663,-0.10065624793308069,-0.12678278469513926,-0.37914360938006325,-0.1057662306967824,-0.10163134212941699,-0.7860196560408315,-0.37232334525032296,-0.44308648348073815,0.9154737524460117,0.3616020046111535,0.253645602077394,-0.3205257626541692,-0.17393500091458003,0.06955544013869748,-0.4603390190288922,-0.1933035781480501,-0.3042323840082753,-0.36970040561748435,-0.23585702132395064,-0.3035271308151043,-0.38210592033842145,-0.22704369171953342,-0.22930716051067665,-0.4229846755601391,-0.10498837941215611,-0.3096699429025176,0.40590029390604915,0.045639444369719534,0.25343165140540697,-0.46295628942583655,-0.07774985652717391,-0.30300053416294753
7,0.7625166508400256,0.3168782296381676,0.4944163833983775,0.7632660091691955,0.2600357477729569,0.4402049056777769,0.402100921889091,0.09901268898054151,0.12523226051506778,0.3744620219709953,0.10433687050079342,0.10202835211576029,0.7837313837220021,0.3712447309906048,0.44145842933803037,-0.9265995725344836,-0.3663277587842014,-0.25683681804158853,0.3156402426717407,0.17153557912734443,-0.07004077004547136,0.45534739143421865,0.19082630253545788,0.29909222969962573,0.36496135048649814,0.23304595711092985,0.29956407318159184,0.37716684719894844,0.22404879586764662,0.22625406497718326,0.4179180961404136,0.10374808969775012,0.3045867569469798,-0.4133796330846735,-0.04684543274193085,-0.25902554551768053,0.45718857056047146,0.07651854063288772,0.2989701612930766
8,-0.7602799363904866,-0.31595477187793897,-0.49261732871425157,-0.7609073567319817,-0.25931509040619577,-0.4385300705174124,-0.39656712498001223,-0.09735495141410096,-0.12367022866968479,-0.3697350930570656,-0.10289418302065156,-0.10243169235732803,-0.7814339608034548,-0.3701624103111002,-0.43982433556523653,0.9378208282288409,0.3710918428139184,0.2600546969291064,-0.3107068486560267,-0.1691132693027612,0.07053283813092652,-0.4503069874221208,-0.1883272591185466,-0.29390638449430384,-0.36017897658478093,-0.2302098534732208,-0.2955650428813541,-0.3721840944538875,-0.2210261155945606,-0.22317403651295226,-0.41279901160244264,-0.10249814693797499,-0.29945919837954343,0.4209232359255028,0.04806059726433319,0.26466393838094054,-0.4513654142837113,-0.07527462805573382,-0.2949124592921463
9,0.7580332775808498,0.3150280171921793,0.4908110069543378,0.7585373455870541,0.2585920092895624,0.4368485292416825,0.3909808155605048,0.09568247339396188,0.12209615752936805,0.3649610045502556,0.10143762683300304,0.10284145222472765,0.7791263578371107,0.3690759059429068,0.4381835516756987,-0.9491400747747444,-0.37589532916266655,-0.26329997918514486,0.3057237287802021,0.16666715868665716,-0.07103178327868756,0.44521581946954064,0.1858055226947213,0.28867299218460146,0.3553514851654076,0.2273476441550416,0.2915285498280597,0.3671558155321484,0.2179745156095114,0.22006593970469643,0.4076253934049566,0.10123810095903588,0.29428543712490746,-0.4285332071226834,-0.04928527308411729,-0.27034837657788213,0.4454845967300406,0.07401764664400341,0.29082605493526165
10,-0.7557756534083366,-0.314097553435305,-0.48899668431435955,-0.7561549145393376,-0.25786617652094196,-0.4351596115054891,-0.3853399722928847,-0.09399468022653823,-0.12050950389964064,-0.36013789526751855,-0.09996664782779485,-0.10325772407468373,-0.7768075259282025,-0.3679847318162829,-0.436535415286813,0.9605599258980448,0.3807393141337838,0.2665734219730544,-0.30068898708924907,-0.16419631297969714,0.07153774835960384,-0.44007185286517525,-0.1832601468021119,-0.2833901537153712,-0.35047703562014676,-0.22445823829780093,-0.28745306934453135,-0.36208012133821355,-0.21489283407018378,-0.21692861301272948,-0.40239516389772173,-0.09996749163406089,-0.289063601125172,0.4362116994192358,0.05051980262202223,0.2760804408745258,-0.43954384136522534,-0.0727471128338654,-0.2867095459266226
